id,url,title,status,category,current_author,current_word_count,recommended_action,quality_score,originality_score,factual_risk,information_gain_score,first_hand_experience_potential,duplicate_risk,cannibalization_risk,reason,required_human_input,target_article_if_merge,priority
71,(not live) /how-to-handle-being-laid-off-the-first-two-weeks,How to Handle Being Laid Off: The First Two Weeks,SCHEDULED,Career,Muthu,1516,IMPROVE,6,6,High,5,2,4,3,"The most India-specific and practically dense article in its batch (EPF, gratuity, IRDAI portability); every regulatory claim is uncited, a real YMYL-adjacent risk that needs fixing before publication.","Cite the EPF, gratuity, and IRDAI regulatory claims with sources",,P1
72,(not live) /how-to-link-aadhaar-and-pan-online-step-by-step,How to Link Aadhaar and PAN Online — Step by Step,SCHEDULED,Finance,Muthu,1514,IMPROVE,6,7,Medium,7,2,3,3,"The most transactionally useful and concrete article in its batch (correct portal, fee, and correction channels); needs screenshots and a 'last verified' date for details that change.",Add screenshots and a 'last verified' date for portal/fee details,,P1
73,(not live) /how-to-check-your-epf-balance-without-visiting-an-office,How to Check Your EPF Balance Without Visiting an Office,SCHEDULED,Finance,Muthu,1521,IMPROVE,5,2,Medium,2,5,8,0,Accurate core 4-method process; roughly 15 of its 20 H2 sections are generic padding that should be cut.,Cut ~15 of the 20 filler H2 sections; keep the core 4-method process,,P2
74,(not live) /how-to-download-your-digital-driving-licence-on-digilocker,How to Download Your Digital Driving Licence on DigiLocker,SCHEDULED,Tech,Muthu,1505,IMPROVE,5,2,High,2,5,8,0,"Legally load-bearing claims (IT Act equivalence, police acceptance) are stated with no citation — needs a real legal source before publication.",Cite the specific IT Act/Motor Vehicles Act sections behind the legal-validity claim,,P1
75,(not live) /how-to-file-a-consumer-complaint-online-in-india,How to File a Consumer Complaint Online in India,SCHEDULED,Finance,Muthu,1569,IMPROVE,6,5,High,6,5,6,0,"The jurisdiction table (District/State/National thresholds) is a genuinely useful, correct, specific data point; needs the surrounding generic padding cut.","Update the Banking Ombudsman reference to 'RBI Integrated Ombudsman Scheme, 2021' per fact-check",,P1
76,(not live) /how-to-get-a-duplicate-pan-card-online,How to Get a Duplicate PAN Card Online,SCHEDULED,Finance,Muthu,1522,MAJOR REWRITE,4,2,Medium,2,5,8,0,"Explicitly hedges its own fee numbers as possibly outdated, undercutting the article's entire reason to exist (telling readers what it costs); needs real verified current fee data, not a trim.",Verify and state a precise current PAN reissue fee instead of a hedged range,,P2
77,(not live) /how-to-register-a-complaint-against-spam-calls-with-trai,How to Register a Complaint Against Spam Calls With TRAI,SCHEDULED,Tech,Muthu,1523,MERGE,5,2,Low,2,5,6,10,Walks through the same DND/1909 registration process as the more comprehensive scheduled spam-calls article; fold in rather than publish separately.,Fold into the canonical spam-calls article (84) instead of publishing separately,How to Stop Spam Calls and SMS on an Indian SIM — The Settings That Actually Help,P3
78,(not live) /how-to-check-your-cibil-score-for-free-legally,"How to Check Your CIBIL Score for Free, Legally",SCHEDULED,Finance,Muthu,1543,MERGE,5,2,Low,2,5,7,9,Overlaps the published credit-score article's core topic; fold the free-check angle in as a section once that article's FICO/CIBIL factual error is fixed.,Fold the free-check angle into the published credit-score article as a section,Credit Score in India: How It Works and How to Fix a Bad One,P3
79,(not live) /how-to-verify-a-company-is-real-before-accepting-a-job-offer,How to Verify a Company Is Real Before Accepting a Job Offer,SCHEDULED,Career,Muthu,1567,REBUILD,4,2,High,2,5,7,3,"States the GST verification portal as services.gst.in when the real domain is services.gst.gov.in — a factual error at the center of a fraud-prevention article, plus 19 H2 sections with no worked example. Highest-priority credibility fix in the whole queue (scheduled 2026-09-18).",Fix GST portal URL to services.gst.gov.in (currently stated as services.gst.in),,P1
80,(not live) /how-to-report-a-fraudulent-upi-transaction-and-actually-get-your-money-back,How to Report a Fraudulent UPI Transaction and Actually Get Your Money Back,SCHEDULED,Finance,Muthu,1505,IMPROVE,5,2,Medium,2,5,6,6,Omits the actual RBI liability tiers/timeframes despite that being the single most useful data point a reader trying to recover money would want.,Add the actual RBI liability tiers and timeframes for UPI fraud reimbursement,,P2
81,(not live) /how-to-check-if-your-vehicle-challan-is-real-or-a-scam,How to Check If Your Vehicle Challan Is Real or a Scam,SCHEDULED,Finance,Muthu,1539,IMPROVE,5,2,Medium,2,5,7,0,Practically useful core advice padded with invented-scenario filler that should be cut.,Cut invented-scenario filler and add a real example of a fake challan message,,P2
82,(not live) /how-to-recover-deleted-whatsapp-messages-and-photos-what-actually-works,How to Recover Deleted WhatsApp Messages and Photos — What Actually Works,SCHEDULED,Tech,Muthu,1506,IMPROVE,6,6,Medium,5,2,4,4,The most technically specific WhatsApp article in the queue; needs padding trimmed and its duplicated closing sentence (a generation artifact) fixed.,Fix the duplicated closing sentence and trim padding sections,,P1
83,(not live) /how-to-free-up-storage-on-your-phone-without-deleting-photos-you-want,How to Free Up Storage on Your Phone Without Deleting Photos You Want,SCHEDULED,Tech,Muthu,1505,MERGE,4,2,Low,2,5,8,10,Same bulk-cleanup methodology as the higher-quality scheduled decluttering article; publishing both invites direct self-competition.,Merge into digital-decluttering (98) instead of publishing as a separate page,Digital Decluttering: How to Clean Up Years of Phone Photos and Files,P3
84,(not live) /how-to-stop-spam-calls-and-sms-on-an-indian-sim-the-settings-that-actually-help,How to Stop Spam Calls and SMS on an Indian SIM — The Settings That Actually Help,SCHEDULED,Tech,Muthu,1500,IMPROVE,5,3,Medium,3,5,5,8,Canonical survivor of the spam-calls pair (adds carrier/phone-level filtering on top of DND); absorbs the TRAI-complaint article and needs its own H2 padding trimmed.,Trim H2 padding and absorb the TRAI-complaint article's content once merged,,P1
85,(not live) /how-to-transfer-whatsapp-chats-to-a-new-phone-without-losing-history,How to Transfer WhatsApp Chats to a New Phone Without Losing History,SCHEDULED,Tech,Muthu,1529,IMPROVE,5,1,Medium,2,2,8,4,20 H2 headers escalate into speculative edge cases beyond the 5 core steps; core menu paths need verification against a current WhatsApp build.,Verify current WhatsApp menu paths and cut speculative edge-case H2 sections,,P2
86,(not live) /how-to-use-google-lens-for-more-than-just-translating-text,How to Use Google Lens for More Than Just Translating Text,SCHEDULED,Tech,Muthu,1511,NOINDEX,4,1,Low,1,2,9,0,"Reads like restated Google marketing copy with zero India-specific angle or personal testing; will never out-compete Google's own product pages — keep on-site, don't position for search.","None -- keep NOINDEX, do not invest further editorial effort",,P3
87,(not live) /how-to-set-up-a-second-whatsapp-number-on-one-phone,How to Set Up a Second WhatsApp Number on One Phone,SCHEDULED,Tech,Muthu,1524,IMPROVE,5,4,Medium,4,2,6,6,Manufacturer-specific dual-app naming is a genuinely useful detail; needs spacing/differentiation from the two other WhatsApp how-tos scheduled in the same window.,Space release from the other two WhatsApp how-tos; verify manufacturer feature names,,P2
88,(not live) /how-to-find-a-lost-android-phone-even-when-it-is-offline,How to Find a Lost Android Phone Even When It Is Offline,SCHEDULED,Tech,Muthu,1527,HOLD,6,5,Medium,5,5,5,4,"Strongest India-specific grounding in its batch (Sanchar Saathi, DoT, IMEI dial code); blocked on an external fact-check that these government-portal requirements are still current before a 2026-09-27 publish date.",Confirm Sanchar Saathi/DoT IMEI-blocking process is current before the 2026-09-27 publish date,,P1
89,(not live) /how-to-turn-off-ads-in-free-android-apps-what-is-legal-and-what-is-not,How to Turn Off Ads in Free Android Apps — What Is Legal and What Is Not,SCHEDULED,Tech,Muthu,1510,REBUILD,4,3,High,3,5,6,0,"Makes confident legal claims (copyright infringement, ToS violation) about modified APKs with zero citation to actual Indian law, despite the article's entire premise being a legal distinction.",Cite actual Indian copyright/IT law for the 'modified APK is illegal' claim,,P1
90,(not live) /how-to-screen-record-on-android-without-a-third-party-app,How to Screen Record on Android Without a Third-Party App,SCHEDULED,Tech,Muthu,1512,IMPROVE,5,4,High,4,2,5,0,"DRM/ADB technical details are accurate, but the call-recording-consent legal claim needs a citation or removal, and this highly visual topic has zero screenshots.",Cite Indian call-recording consent law or remove the claim; add UI screenshots,,P1
91,(not live) /how-to-check-if-your-phone-number-was-leaked-in-a-data-breach,How to Check If Your Phone Number Was Leaked in a Data Breach,SCHEDULED,Tech,Muthu,1525,HOLD,6,6,Medium,6,5,4,5,The most specifically-sourced article in its batch (named tools and government portals); blocked on an external fact-check of HIBP's phone-search feature and the cited portals' currency before a 2026-09-30 publish date.,Confirm HIBP's phone-search feature and cited portals are current before the 2026-09-30 publish date,,P1
92,(not live) /how-to-build-a-second-brain-with-just-notes-and-folders-no-app-needed,"How to Build a Second Brain With Just Notes and Folders, No App Needed",SCHEDULED,Productivity,Muthu,1500,REBUILD,3,1,Low,1,2,9,0,"Presents the well-known PARA method as original, uncredited advice — an attribution problem, not a polish problem; needs crediting and real India-grounded examples.",Credit the PARA method (Tiago Forte) by name; add real India-grounded examples,,P2
93,(not live) /how-to-actually-stick-to-a-morning-routine-based-on-what-derails-most-people,"How to Actually Stick to a Morning Routine, Based on What Derails Most People",SCHEDULED,Productivity,Muthu,1501,REBUILD,3,2,Medium,2,2,8,7,States an unsourced cortisol/physiology claim with unwarranted confidence in otherwise fully generic content; designated canonical target absorbing the 'build a habit that survives a bad week' article once rebuilt.,Cite or remove the cortisol claim; absorb the 'habit survives a bad week' article,,P1
94,(not live) /the-two-minute-rule-for-getting-through-a-long-to-do-list,The Two-Minute Rule for Getting Through a Long To-Do List,SCHEDULED,Productivity,Muthu,833,REBUILD,3,1,Low,1,3,9,5,"Reproduces David Allen's GTD 'two-minute rule' without crediting GTD or Allen, presented as original site advice — an originality problem needing a rebuild, not a citation fix.",Credit David Allen / Getting Things Done as the source of the two-minute rule,,P2
95,(not live) /how-to-run-a-weekly-review-that-actually-changes-what-you-do,How to Run a Weekly Review That Actually Changes What You Do,SCHEDULED,Productivity,Muthu,1534,REMOVE,4,2,Low,2,2,8,8,"Cluster-level call on the crowded, weak Productivity vertical: this is the most redundant and least differentiated of six overlapping productivity how-tos already being kept elsewhere in the cluster, with no unique hook to justify a seventh page.",None -- remove; redundant with other kept productivity articles in the cluster,,P3
96,(not live) /how-to-say-no-to-extra-work-without-damaging-the-relationship,How to Say No to Extra Work Without Damaging the Relationship,SCHEDULED,Productivity,Muthu,1510,MAJOR REWRITE,4,2,Low,2,2,8,7,"No India-specific workplace context despite the site's general focus; designated canonical target absorbing the 'set boundaries with work messages' article, but needs a real rebuild around real Indian workplace norms, not a trim.",Rebuild around real Indian workplace norms; absorb the 'set boundaries' article's content,,P1
97,(not live) /how-to-organize-your-email-inbox-in-under-30-minutes,How to Organize Your Email Inbox in Under 30 Minutes,SCHEDULED,Productivity,Muthu,1532,MAJOR REWRITE,5,2,Low,2,3,8,0,"20 H2 sections over 1,532 words reads as programmatic long-tail expansion rather than organic structure, with zero sourcing and no concrete anecdote; the coherent three-folder method needs a from-scratch rebuild around a real example.",Rebuild from scratch around a real concrete example rather than trimming the outline,,P2
98,(not live) /digital-decluttering-how-to-clean-up-years-of-phone-photos-and-files,Digital Decluttering: How to Clean Up Years of Phone Photos and Files,SCHEDULED,Tech,Muthu,830,IMPROVE,5,3,Medium,3,5,7,9,Canonical survivor of the phone-storage-cleanup pair (better sequencing than its competitor); absorbs the 'free up storage' article.,Absorb the 'free up storage' article's content; add OS-specific screenshots and steps,,P1
99,(not live) /how-to-batch-small-tasks-so-they-stop-interrupting-deep-work,How to Batch Small Tasks So They Stop Interrupting Deep Work,SCHEDULED,Productivity,Muthu,1508,MAJOR REWRITE,5,2,Medium,2,3,8,0,"Presents invented-sounding precise numbers ('a couple of minutes per switch') as if measured, with no company-, tool-, or person-specific example anywhere; needs real sourcing or a full illustrative reframe, not incremental editing.",Source the interruption re-entry-cost figures or reframe with a real example,,P2
100,(not live) /how-to-set-boundaries-with-work-messages-after-hours,How to Set Boundaries With Work Messages After Hours,SCHEDULED,Productivity,Muthu,1520,MERGE,5,3,Medium,2,2,7,9,Shares the exact tag set and category with the scheduled 'say no to extra work' article and cites an unattributed 'research shows' burnout claim; fold in rather than publish separately.,Merge into 'say no to extra work' (96); cite or remove the 'research shows' claim,How to Say No to Extra Work Without Damaging the Relationship,P3
101,(not live) /how-to-build-a-habit-that-survives-a-bad-week,How to Build a Habit That Survives a Bad Week,SCHEDULED,Productivity,Muthu,1499,MERGE,5,3,Low,2,2,8,8,Overlaps heavily with the scheduled morning-routine article on why habits break and how to keep them alive; fold in once that article's unsourced cortisol claim is fixed.,Merge into the morning-routine article (93) rather than publishing separately,"How to Actually Stick to a Morning Routine, Based on What Derails Most People",P3
102,(not live) /how-to-tell-if-a-link-is-a-phishing-scam-before-you-click-it,How to Tell If a Link Is a Phishing Scam Before You Click It,SCHEDULED,Tech,Muthu,1523,IMPROVE,6,7,Low,6,5,3,6,"Genuinely more specific than typical phishing content (correct padlock-doesn't-mean-ownership point, real India-relevant domain examples); needs sourcing beyond the one CERT-In citation.","Add sourcing beyond the single CERT-In citation, e.g. phishing prevalence data",,P1
103,(not live) /two-factor-authentication-explained-which-method-is-actually-safest,Two-Factor Authentication Explained: Which Method Is Actually Safest,SCHEDULED,Tech,Muthu,837,MERGE,6,6,Low,6,5,4,10,Strongest technical piece in its batch but directly overlaps the already-published 2FA article for the same query; merge as an update rather than publish as a competing page.,Merge this piece's stronger technical content into the published 2FA article,How Two-Factor Authentication Actually Stops the Most Common Account Hacks,P3
104,(not live) /how-to-check-what-personal-data-google-has-on-you-and-delete-it,How to Check What Personal Data Google Has on You (And Delete It),SCHEDULED,Tech,Muthu,1506,IMPROVE,6,6,Low,6,5,4,0,"Genuinely useful and currently accurate step-by-step content (correct URLs, correct 2024 Timeline on-device shift); weakened mainly by excessive keyword-driven padding, not factual problems.",Trim the excessive keyword-driven H2 padding; content itself is already accurate,,P1
105,(not live) /what-a-vpn-actually-protects-you-from-and-what-it-does-not,"What a VPN Actually Protects You From, and What It Does Not",SCHEDULED,Tech,Muthu,868,IMPROVE,6,7,Low,7,5,3,0,One of the more factually grounded scheduled pieces thanks to a correctly-dated CERT-In VPN-logging citation; still unsourced beyond that one detail.,Add sourcing/citations beyond the single CERT-In regulation detail,,P1
106,(not live) /how-to-spot-a-fake-job-offer-sent-over-whatsapp-or-telegram,How to Spot a Fake Job Offer Sent Over WhatsApp or Telegram,SCHEDULED,Career,Muthu,1526,MERGE,6,6,Low,5,1,5,8,Overlaps the company-verification article's job-scam-detection intent; merge in once that article's GST URL error is corrected.,"Hold until merge target's GST URL error is fixed, then merge in",How to Verify a Company Is Real Before Accepting a Job Offer,P3
107,(not live) /why-you-should-not-reuse-passwords-what-happens-when-one-site-gets-breached,Why You Should Not Reuse Passwords: What Happens When One Site Gets Breached,SCHEDULED,Tech,Muthu,811,IMPROVE,6,7,Low,6,5,4,3,"Clear, technically accurate credential-stuffing mechanism explanation naming real tools (haveibeenpwned.com); would benefit from one actual current breach statistic.","Add one current breach statistic (e.g., cited account count) from a known dataset",,P1
108,(not live) /how-to-set-up-a-password-manager-in-15-minutes,How to Set Up a Password Manager in 15 Minutes,SCHEDULED,Tech,Muthu,1540,IMPROVE,5,5,Low,4,5,7,3,Useful step-by-step content undermined by the most extreme H2 fragmentation in its batch — nearly half the article is padding after the real seven-step tutorial ends.,Cut roughly half the H2 padding sections; the 7-step tutorial is already complete,,P2
109,(not live) /how-upi-fraud-actually-happens-the-five-warning-signs,How UPI Fraud Actually Happens: The Five Warning Signs,SCHEDULED,Finance,Muthu,832,IMPROVE,5,5,High,3,2,6,4,"Factually sound and India-appropriate prevention-focused piece kept distinct from the recovery-focused fraud-reporting article; needs deeper, less generic per-section content.",Update the Collect-request scam mechanics to reflect NPCI's Oct 2025 P2P Collect discontinuation,,P1
110,(not live) /what-end-to-end-encrypted-actually-means-for-an-app-you-use-daily,What End-to-End Encrypted Actually Means for an App You Use Daily,SCHEDULED,Tech,Muthu,1010,NOINDEX,6,6,Low,5,5,8,0,"The clearest and most conceptually accurate scheduled piece, but has no unique data, screenshot, or India-specific angle to justify standing as competitive search content over a good AI answer — keep on-site, don't position for search.",None — content accurate as-is; NOINDEX already reflects lack of unique angle,,P3
111,(not live) /how-to-recognize-a-fake-loan-app-before-it-drains-your-bank-account,How to Recognize a Fake Loan App Before It Drains Your Bank Account,SCHEDULED,Finance,Muthu,1501,IMPROVE,6,7,Low,6,2,5,3,"The most India-regulation-specific and actionable scheduled article; lacks a concrete example (a real app name, an RBI list screenshot) to move past generic synthesis.",Add a real example — a specific fake app name or an RBI list screenshot,,P1
112,(not live) /wired-vs-wireless-earbuds-what-you-actually-give-up-either-way,Wired vs Wireless Earbuds: What You Actually Give Up Either Way,SCHEDULED,Reviews,Muthu,965,MERGE,5,4,Low,3,1,8,9,Directly competes with the site's own published earbuds buying guide; fold the wired-vs-wireless trade-off content into that article once it is rebuilt with real brand/price data.,Fold trade-off content into the published budget-earbuds guide once rebuilt,"How to Choose Budget Wireless Earbuds Under ₹2,000 — What Actually Matters",P3
113,(not live) /power-bank-buying-guide-what-the-mah-number-does-not-tell-you,Power Bank Buying Guide: What the mAh Number Does Not Tell You,SCHEDULED,Reviews,Muthu,807,IMPROVE,5,6,Low,6,1,6,0,The voltage-conversion-loss explanation is a genuinely less-common useful detail; needs a real named power bank model or brand to move past generic synthesis.,Add a named power bank model/brand with real tested output numbers,,P2
114,(not live) /how-to-tell-if-a-deal-price-online-is-actually-a-discount,How to Tell If a Deal Price Online Is Actually a Discount,SCHEDULED,Finance,Muthu,1511,IMPROVE,5,5,Low,2,1,7,7,"Longest article in its batch by word count but not substance — never names a single actual tool, product, or price despite that being its entire premise.",Name an actual price-tracking tool and show one real product's price-history example,,P2
115,(not live) /ssd-vs-hdd-for-a-budget-laptop-where-the-money-should-actually-go,SSD vs HDD for a Budget Laptop: Where the Money Should Actually Go,SCHEDULED,Reviews,Muthu,974,IMPROVE,5,4,Low,3,3,8,7,Technically sound storage-speed explanation; needs real benchmark numbers and should be clearly cross-linked (not merged) with the RAM article since both answer distinct budget-laptop-priority questions.,Add real benchmark numbers; cross-link (don't merge) with the RAM article,,P2
116,(not live) /best-time-of-year-to-buy-electronics-in-india-what-the-sales-calendar-shows,Best Time of Year to Buy Electronics in India: What the Sales Calendar Shows,SCHEDULED,Finance,Muthu,840,REBUILD,4,4,Medium,1,1,7,6,"Asserts which sale window has the 'deepest and widest discount window' with zero supporting price data, named example, or past sale event anywhere — the weakest scheduled article by the audit's own assessment.",Add actual historical price data to support the 'deepest discount window' claim,,P2
117,(not live) /how-to-spot-a-refurbished-phone-listed-as-new,How to Spot a Refurbished Phone Listed as New,SCHEDULED,Tech,Muthu,1509,IMPROVE,6,7,Low,6,1,4,1,The most concretely actionable and India-specific scheduled piece (CEIR + IMEI + battery health combo); needs a real device example or first-hand demonstration.,Demonstrate the checks on a real device example or name a specific phone/seller case,,P1
118,(not live) /prepaid-vs-postpaid-mobile-plans-which-actually-costs-less-over-a-year,Prepaid vs Postpaid Mobile Plans: Which Actually Costs Less Over a Year,SCHEDULED,Reviews,Muthu,862,REBUILD,4,3,Medium,1,1,7,0,"Titled as a cost comparison and contains not a single price or number anywhere, including its own decision table — needs to be rebuilt around actual plan prices.",Add actual operator prices (Jio/Airtel/Vi) and computed annual totals,,P2
119,(not live) /how-much-ram-you-actually-need-in-a-laptop-in-2026,How Much RAM You Actually Need in a Laptop in 2026,SCHEDULED,Tech,Muthu,825,IMPROVE,5,5,Low,3,2,7,7,Reasonably current Electron-bloat framing; needs real measured memory data and should be clearly cross-linked (not merged) with the SSD/HDD article covering a distinct budget-laptop question.,Add measured memory-usage data; cross-link (don't merge) with the SSD/HDD article,,P2
120,(not live) /smartwatch-buying-guide-which-features-are-worth-paying-extra-for,Smartwatch Buying Guide: Which Features Are Worth Paying Extra For,SCHEDULED,Reviews,Muthu,819,IMPROVE,5,5,Low,2,1,6,0,Technically correct feature breakdown entirely price-and-product-free despite being framed as a spend-your-money-wisely guide; needs real models and prices.,Name actual smartwatch models and prices to ground the 'worth paying extra' claims,,P2
121,(not live) /how-to-check-a-products-real-reviews-instead-of-fake-ones,How to Check a Product's Real Reviews Instead of Fake Ones,SCHEDULED,Reviews,Muthu,1505,IMPROVE,5,3,Low,2,1,9,0,Practically sound checklist that never names an actual platform despite an Indian audience shopping mostly on Amazon/Flipkart; needs at least one named example.,Name an actual platform (Amazon/Flipkart) and give one real manipulated-listing example,,P2
122,(not live) /how-to-extend-your-wi-fi-router-range-without-buying-a-new-one,How to Extend Your Wi-Fi Router Range Without Buying a New One,SCHEDULED,Tech,Muthu,1508,MERGE,4,3,Low,2,1,9,9,Substantially overlaps the site's strongest published article (one of its five benchmark 7/10 pieces) on the same placement/interference content; fold in rather than compete with it.,Fold into the published Wi-Fi placement article rather than publishing separately,Why Your Wi-Fi Feels Slow in Certain Rooms — The Real Physics Behind Router Placement,P3
123,(not live) /how-to-tell-if-your-internet-plan-is-actually-giving-you-the-speed-you-pay-for,How to Tell If Your Internet Plan Is Actually Giving You the Speed You Pay For,SCHEDULED,Tech,Muthu,1521,IMPROVE,5,5,Medium,3,1,7,0,Solid procedural bones need named speed-test tools and a real documented example to move past generic advice.,"Name actual speed-test tools (e.g. Ookla, Fast.com) and include one real documented test",,P2
124,(not live) /inverter-vs-ups-for-home-power-backup-what-is-the-real-difference,Inverter vs UPS for Home Power Backup — What Is the Real Difference,SCHEDULED,Reviews,Muthu,931,KEEP,6,7,Low,5,5,3,0,Genuinely clarifies a common India-relevant confusion (switchover gap vs backup duration) with correct technical distinctions; no duplication or cannibalization flagged.,None — ready as-is (KEEP),,P3
125,(not live) /how-often-you-should-actually-clean-your-laptop-fans,How Often You Should Actually Clean Your Laptop Fans,SCHEDULED,Tech,Muthu,852,NOINDEX,4,2,Low,1,1,8,0,"Genuinely thin (852 words) dressed up as 10 H2 sections on a topic that has real but very narrow depth potential; accurate and fine to keep on-site, but not worth positioning as competitive search content.","None — accurate as-is; NOINDEX reflects genuine thinness, not errors",,P3
126,(not live) /how-to-set-up-a-smart-plug-and-what-it-is-actually-useful-for,How to Set Up a Smart Plug and What It Is Actually Useful For,SCHEDULED,Tech,Muthu,1538,IMPROVE,5,6,Low,4,2,7,0,Correctly diagnoses a real common setup failure (2.4GHz/5GHz band mismatch); otherwise generic and needs named products/brands to feel substantive.,Name actual smart-plug products/brands sold in India,,P2
127,(not live) /ro-vs-uv-water-purifier-which-one-your-water-actually-needs,RO vs UV Water Purifier — Which One Your Water Actually Needs,SCHEDULED,Reviews,Muthu,828,KEEP,6,7,Low,7,5,3,0,"Concrete decision framework tied to a measurable number (TDS) rather than vague generalities, appropriate for India's variable water supply; no duplication flagged.",None required for KEEP; optionally cite the BIS standard behind the TDS thresholds,,P3
128,(not live) /how-to-extend-a-phone-battery-lifespan-over-years-not-just-a-day,"How to Extend a Phone Battery Lifespan Over Years, Not Just a Day",SCHEDULED,Tech,Muthu,1519,MERGE,5,3,Medium,2,1,7,8,Competes directly with the published battery-chemistry article for the same search intent; fold in as a practical-tips section.,Merge into the published battery-chemistry article; source the specific degradation-percentage claims,Why Your Phone Battery Degrades Over Time — The Real Chemistry Behind It,P3
129,(not live) /how-to-choose-between-a-split-ac-and-a-window-ac-for-a-small-room,How to Choose Between a Split AC and a Window AC for a Small Room,SCHEDULED,Reviews,Muthu,1533,KEEP,6,7,Low,4,2,3,0,"Genuinely India-specific structural details (housing-society rules, façade restrictions) lift this above the batch average; no duplication flagged.",None required for KEEP; optionally add real price figures to the comparison table,,P3
130,(not live) /how-to-set-up-a-home-wi-fi-guest-network-and-why-you-should,"How to Set Up a Home Wi-Fi Guest Network, and Why You Should",SCHEDULED,Tech,Muthu,1514,IMPROVE,5,6,Low,4,4,5,0,The isolation-setting-vs-second-SSID point is genuinely useful and specific; the rest is generic padding that should be trimmed.,Trim generic padding; keep and expand the isolation-setting-vs-second-SSID point,,P2
131,(not live) /how-to-reduce-your-electricity-bill-without-changing-your-lifestyle-much,How to Reduce Your Electricity Bill Without Changing Your Lifestyle Much,SCHEDULED,Finance,Muthu,1500,KEEP,6,8,Low,5,4,2,0,"Best India-localization in its batch (slab billing, geysers, rooftop solar subsidy mentions); no duplication or cannibalization flagged.",None required for KEEP; optionally name a specific state electricity board/tariff,,P3
132,https://techpulzo.in/how-two-factor-authentication-actually-stops-account-hacks,How Two-Factor Authentication Actually Stops the Most Common Account Hacks,PUBLISHED,Tech,Muthu,1028,IMPROVE,5,7,Low,6,5,3,8,"Canonical survivor for the 2FA merge pair, correctly explaining the actual credential-stuffing attack 2FA defends against; absorb the scheduled duplicate's stronger technical detail as an update.",Absorb the scheduled duplicate's stronger technical detail before that duplicate publishes,,P1
133,https://techpulzo.in/freelancing-vs-a-full-time-job-in-india-what-youre-actually-trading-off,Freelancing vs a Full-Time Job in India — What You're Actually Trading Off,PUBLISHED,Career,Muthu,1181,IMPROVE,5,4,Medium,3,2,6,6,Reasonable 'adjusted total value' reframe undercut by never stating the actual GST threshold or advance-tax deadlines it references — the one section where specificity matters most.,State the actual GST registration threshold (Rs 20L for services) and current advance-tax deadlines,,P1
134,https://techpulzo.in/javascript-basics-the-concepts-every-beginner-actually-needs,JavaScript Basics: The Concepts Every Beginner Actually Needs,PUBLISHED,Tutorials,Muthu,1144,MAJOR REWRITE,4,1,Low,1,1,10,5,"Textbook JS-101 content interchangeable with any beginner tutorial, localized only by character names; needs a genuinely distinctive teaching angle or real project context, not incremental fixes.","Rebuild around a real project or debugging scenario — needs a distinctive angle, not edits",,P2
135,https://techpulzo.in/sip-vs-lump-sum-how-to-actually-decide-where-to-put-your-money,SIP vs Lump Sum: How to Actually Decide Where to Put Your Money,PUBLISHED,Finance,Muthu,1167,IMPROVE,5,5,High,3,1,6,1,The per-installment LTCG-clock point is a genuine bright spot; needs the actual current LTCG rate/threshold (12.5% above ₹1.25L) stated and the 'lump sum historically outperforms' claim sourced.,State the current LTCG rate/threshold (12.5% above Rs 1.25L) and source the lump-sum-outperforms claim,,P1
136,https://techpulzo.in/how-to-choose-budget-wireless-earbuds-under-2000-what-actually-matters,"How to Choose Budget Wireless Earbuds Under ₹2,000 — What Actually Matters",PUBLISHED,Reviews,Muthu,1511,MAJOR REWRITE,5,4,Low,3,1,6,7,"Fatally generic as a buying guide since it never names a single real brand, model, or price in a market segment (boAt, Noise, Realme) intensely dominated by a handful of names; canonical earbuds article but needs real product grounding, not a light edit.","Add real brand/model names (boAt, Noise, Realme) and prices — the biggest gap in this guide",,P1
137,https://techpulzo.in/notion-vs-google-keep-vs-obsidian-which-note-taking-app-should-you-use,Notion vs Google Keep vs Obsidian: Which Note-Taking App Should You Actually Use,PUBLISHED,Reviews,Muthu,1155,MERGE,4,2,Low,2,1,7,9,"Second standalone 'Notion vs X' comparison on the site, directly cannibalizing the other Notion comparison article for the same search intent.",Merge into the Notion vs Google Docs article rather than running as a second standalone comparison,Notion vs Google Docs — What Each One Is Actually Built For,P3
